Afghanistan,78.19,12.00
Albania,47.01,29.14
Algeria,53.25,25.71
Angola,66.66,18.34
Argentina,64.09,19.75
Armenia,21.75,43.04
Australia,44.83,30.34
Austria,26.82,40.25
Azerbaijan,31.73,37.55
Bahamas,62.91,20.40
Bahrain,24.95,41.28
Bangladesh,63.06,20.32
Barbados,46.94,29.18
Belarus,57.18,23.55
Belgium,46.71,29.31
Belize,51.97,26.42
Bolivia,58.44,22.86
Bosnia And Herzegovina,42.71,31.51
Botswana,53.70,25.47
Brazil,66.79,18.27
Brunei,29.55,38.75
Bulgaria,38.37,33.90
Cambodia,51.72,26.55
Cameroon,65.26,19.11
Canada,43.63,31.00
Chile,56.51,23.92
China,28.82,39.15
Colombia,58.71,22.71
Costa Rica,53.86,25.38
Croatia,23.99,41.81
Cuba,31.72,37.55
Cyprus,31.06,37.92
Czech Republic,25.78,40.82
Denmark,26.34,40.51
Dominican Republic,61.49,21.18
Ecuador,57.87,23.17
Egypt,46.61,29.36
El Salvador,67.59,17.83
Estonia,24.14,41.72
Ethiopia,49.42,27.82
Fiji,57.09,23.60
Finland,26.84,40.24
France,54.39,25.09
Georgia,25.25,41.11
Germany,37.01,34.64
Ghana,46.25,29.56
Greece,47.97,28.62
Guatemala,57.99,23.11
Guyana,68.93,17.09
Honduras,74.66,13.94
Hong Kong,21.62,43.11
Hungary,33.91,36.35
Iceland,24.30,41.64
India,44.57,30.49
Indonesia,46.06,29.67
Iran,49.75,27.64
Iraq,46.17,29.61
Ireland,45.87,29.77
Isle Of Man,18.28,44.95
Israel,32.18,37.30
Italy,46.24,29.57
Jamaica,68.29,17.44
Japan,22.24,42.77
Jordan,41.01,32.44
Kazakhstan,53.04,25.83
Kenya,56.33,24.02
Kosovo (Disputed Territory),43.41,31.12
Kuwait,33.01,36.84
Kyrgyzstan,55.88,24.27
Latvia,38.49,33.83
Lebanon,46.59,29.38
Libya,60.59,21.68
Lithuania,32.55,37.10
Luxembourg,35.58,35.43
Malaysia,54.37,25.10
Maldives,55.13,24.68
Malta,43.72,30.95
Mauritius,48.78,28.17
Mexico,53.90,25.36
Moldova,47.43,28.91
Monaco,24.92,41.29
Mongolia,54.46,25.05
Montenegro,40.39,32.79
Morocco,47.37,28.95
Mozambique,62.94,20.38
Myanmar,47.83,28.69
Namibia,64.97,19.27
Nepal,37.77,34.23
Netherlands,27.57,39.84
New Zealand,44.61,30.46
Nicaragua,48.10,28.55
Nigeria,64.09,19.75
North Korea,58.07,23.06
North Macedonia,40.97,32.47
Norway,33.51,36.57
Oman,19.72,44.15
Pakistan,41.56,32.14
Palestine,41.91,31.95
Panama,43.61,31.01
Papua New Guinea,80.26,10.86
Paraguay,49.01,28.04
Peru,67.24,18.02
Philippines,42.36,31.70
Poland,32.13,37.33
Portugal,31.53,37.66
Puerto Rico,61.77,21.03
Qatar,14.15,47.22
Romania,32.50,37.13
Russia,39.32,33.37
Rwanda,25.54,40.95
Saudi Arabia,24.62,41.46
Serbia,38.18,34.00
Singapore,27.22,40.03
Slovakia,30.54,38.20
Slovenia,23.17,42.26
Somalia,66.41,18.47
South Africa,75.37,13.55
South Korea,26.13,40.63
Spain,34.97,35.77
Sri Lanka,40.97,32.47
Sudan,45.59,29.93
Sweden,48.77,28.18
Switzerland,22.12,42.83
Syria,67.47,17.89
Taiwan,16.15,46.12
Tanzania,55.79,24.32
Thailand,38.92,33.59
Trinidad And Tobago,70.57,16.19
Tunisia,43.94,30.83
Turkey,39.89,33.06
Uganda,55.59,24.43
Ukraine,46.57,29.39
United Arab Emirates,14.87,46.82
United Kingdom,46.62,29.36
United States,48.41,28.37
Uruguay,52.13,26.33
Us Virgin Islands,61.24,21.32
Uzbekistan,33.68,36.48
Venezuela,83.16,9.26
Vietnam,45.76,29.83
Zambia,46.64,29.35
Zimbabwe,59.61,22.21
